TEC,TCTA,sequence,period_schedule
4332.0,251.0,"3,2,0,1,7,4,8,9,5,6","1,1,1;1,1,2;1,1,1;0,1,1;1,2,2;2,2,2;2,2,2;1,2,2;2,2,2;2,2,2"
4278.0,267.0,"3,2,0,5,7,6,1,4,9,8","1,1,1;2,2,2;1,1,1;0,1,1;2,2,2;1,1,2;1,2,2;1,1,2;2,2,2;2,2,2"
4122.0,272.0,"4,6,3,2,0,1,8,5,9,7","1,1,2;1,2,2;1,1,1;1,1,1;0,0,1;2,2,2;0,1,1;2,2,2;2,2,2;2,2,2"
4320.0,262.0,"3,2,0,5,1,8,9,7,4,6","1,1,1;1,2,2;1,1,1;0,1,1;2,2,2;1,1,2;2,2,2;2,2,2;2,2,2;2,2,2"
5202.0,240.0,"4,7,3,2,0,1,5,6,8,9","1,1,1;1,1,2;1,1,1;0,1,1;0,0,0;1,1,2;1,2,2;0,0,0;2,2,2;2,2,2"
5142.0,241.0,"4,7,3,2,0,1,8,5,9,6","1,1,1;1,1,2;1,1,1;0,1,1;0,0,0;2,2,2;2,2,2;0,0,1;1,2,2;2,2,2"
4596.0,249.0,"4,3,2,0,1,7,8,9,5,6","1,1,1;1,1,2;1,1,1;0,1,1;0,0,0;2,2,2;2,2,2;1,2,2;2,2,2;2,2,2"
4032.0,278.0,"4,2,0,3,1,5,6,8,7,9","1,1,1;1,2,2;1,1,1;1,1,2;0,0,1;2,2,2;2,2,2;2,2,2;2,2,2;2,2,2"
4644.0,243.0,"4,3,2,0,1,7,5,8,9,6","1,1,1;1,1,2;1,1,1;0,1,1;0,0,0;1,2,2;2,2,2;1,2,2;2,2,2;2,2,2"
3984.0,290.0,"4,2,0,3,8,1,5,7,6,9","1,1,1;2,2,2;1,1,1;1,1,2;0,0,1;2,2,2;2,2,2;2,2,2;1,2,2;2,2,2"
5634.0,237.0,"5,7,3,2,0,1,4,8,9,6","1,1,1;1,1,2;1,1,1;0,1,1;1,1,2;0,0,0;2,2,2;0,0,1;1,2,2;2,2,2"
4998.0,242.0,"4,7,3,2,0,1,5,8,6,9","1,1,1;1,1,2;1,1,1;0,1,1;0,0,0;1,2,2;2,2,2;0,0,1;2,2,2;2,2,2"
5826.0,234.0,"5,4,7,3,2,0,1,8,9,6","1,1,1;1,1,2;1,1,1;0,1,1;0,0,0;0,0,0;2,2,2;0,0,1;1,2,2;2,2,2"
3882.0,293.0,"4,2,0,3,7,5,1,8,6,9","1,1,1;2,2,2;1,1,1;1,1,2;0,0,1;1,2,2;2,2,2;1,2,2;2,2,2;2,2,2"
5430.0,239.0,"4,5,3,2,0,1,8,7,9,6","1,1,1;1,1,2;1,1,1;0,1,1;0,0,0;0,0,0;2,2,2;2,2,2;1,2,2;2,2,2"
5562.0,238.0,"5,7,3,2,0,1,8,4,9,6","1,1,1;1,1,2;1,1,1;0,1,1;1,2,2;0,0,0;2,2,2;0,0,1;1,2,2;2,2,2"
