TEC,TCTA,sequence,period_schedule
1662.0,150.0,"1,3,0,2,4,6,5","0,1,1;0,0,0;1,1,1;0,0,1;1,1,1;1,1,1;1,1,1"
1434.0,196.0,"4,1,3,0,2,6,5","1,1,1;0,1,1;1,1,1;1,1,1;0,1,1;1,1,1;1,1,1"
1470.0,192.0,"4,6,5,0,2,1,3","1,1,1;1,1,1;1,1,1;1,1,1;0,1,1;1,1,1;0,1,1"
1842.0,134.0,"3,1,2,0,6,4,5","0,1,1;0,0,0;0,0,1;0,0,0;1,1,1;1,1,1;1,1,1"
1866.0,133.0,"3,2,6,5,4,1,0","1,1,1;1,1,1;0,0,0;0,0,0;1,1,1;0,1,1;0,0,1"
1398.0,211.0,"4,5,3,1,2,0,6","1,1,1;1,1,1;1,1,1;1,1,1;0,1,1;1,1,1;1,1,1"
1722.0,149.0,"2,3,6,1,0,4,5","1,1,1;0,1,1;0,0,0;0,0,1;1,1,1;1,1,1;0,0,1"
1746.0,137.0,"3,2,6,4,5,0,1","1,1,1;1,1,1;0,0,0;0,0,0;0,1,1;1,1,1;0,0,1"
1650.0,159.0,"2,3,4,1,0,6,5","1,1,1;0,1,1;0,0,0;0,0,1;0,1,1;1,1,1;1,1,1"
1590.0,162.0,"1,0,3,2,6,4,5","0,1,1;0,0,1;1,1,1;1,1,1;1,1,1;1,1,1;1,1,1"
1494.0,183.0,"0,3,2,1,6,4,5","0,1,1;1,1,1;1,1,1;1,1,1;1,1,1;1,1,1;1,1,1"
1530.0,173.0,"3,0,2,1,6,4,5","0,1,1;1,1,1;1,1,1;0,0,1;1,1,1;1,1,1;1,1,1"
1956.0,130.0,"3,2,6,4,0,5,1","0,1,1;1,1,1;0,0,0;0,0,0;0,0,1;1,1,1;0,0,1"
1734.0,148.0,"3,2,1,6,0,5,4","1,1,1;0,1,1;0,0,0;0,0,0;1,1,1;1,1,1;0,1,1"
1422.0,205.0,"4,3,1,0,5,2,6","1,1,1;1,1,1;1,1,1;0,1,1;0,1,1;1,1,1;1,1,1"
1512.0,178.0,"4,3,2,6,5,1,0","1,1,1;1,1,1;1,1,1;0,1,1;0,0,1;1,1,1;1,1,1"
