TEC,TCTA,sequence,period_schedule
4650.0,183.0,"2,3,1,0,5,7,6,4","1,2,2;1,1,2;0,1,1;1,1,1;2,2,2;2,2,2;2,2,2;2,2,2"
4458.0,192.0,"2,3,5,1,0,6,7,4","2,2,2;1,2,2;0,1,1;1,1,1;2,2,2;1,1,2;2,2,2;2,2,2"
4506.0,186.0,"2,3,1,7,0,5,6,4","2,2,2;1,1,2;0,1,1;1,1,1;2,2,2;2,2,2;2,2,2;1,2,2"
4296.0,195.0,"0,1,2,3,5,6,7,4","0,1,1;1,1,2;1,2,2;2,2,2;2,2,2;2,2,2;2,2,2;2,2,2"
3918.0,232.0,"7,1,3,2,0,5,6,4","2,2,2;1,2,2;2,2,2;2,2,2;2,2,2;2,2,2;2,2,2;1,1,2"
4830.0,165.0,"0,2,3,1,5,6,7,4","0,1,1;1,1,2;1,1,1;1,1,1;2,2,2;1,2,2;2,2,2;2,2,2"
4806.0,171.0,"0,2,3,1,7,5,6,4","0,1,1;1,1,2;1,1,1;1,1,1;2,2,2;2,2,2;2,2,2;2,2,2"
4272.0,216.0,"2,1,0,3,5,6,7,4","1,2,2;1,1,2;0,1,1;2,2,2;2,2,2;2,2,2;2,2,2;2,2,2"
3948.0,225.0,"1,2,0,3,5,6,4,7","2,2,2;1,1,2;1,2,2;2,2,2;2,2,2;2,2,2;2,2,2;2,2,2"
4770.0,176.0,"0,2,3,7,1,5,6,4","0,1,1;2,2,2;1,1,1;1,1,1;2,2,2;2,2,2;2,2,2;1,2,2"
4116.0,220.0,"1,0,2,3,5,6,4,7","1,2,2;1,1,2;2,2,2;2,2,2;2,2,2;2,2,2;2,2,2;2,2,2"
4074.0,223.0,"5,1,2,3,0,6,7,4","2,2,2;1,1,2;1,2,2;2,2,2;2,2,2;0,0,1;2,2,2;2,2,2"
3906.0,244.0,"7,0,2,3,1,5,6,4","2,2,2;2,2,2;2,2,2;2,2,2;2,2,2;2,2,2;2,2,2;1,1,2"
4776.0,174.0,"5,2,3,1,0,6,7,4","1,2,2;1,1,2;0,0,1;0,1,1;2,2,2;0,0,0;2,2,2;2,2,2"
