TEC,TCTA,sequence,period_schedule
2922.0,258.0,"1,5,0,2,3,4,8,7,6","1,1,2;1,1,1;1,2,2;1,2,2;2,2,2;1,1,1;2,2,2;2,2,2;2,2,2"
3336.0,221.0,"0,1,5,3,2,4,8,7,6","0,0,1;1,1,1;1,2,2;1,1,2;1,2,2;1,1,1;2,2,2;2,2,2;2,2,2"
3216.0,232.0,"0,1,5,4,8,3,2,6,7","0,0,0;1,1,1;2,2,2;1,2,2;1,1,2;1,1,1;2,2,2;2,2,2;1,2,2"
2886.0,271.0,"1,5,0,4,8,3,2,6,7","1,1,2;1,1,1;2,2,2;2,2,2;1,1,2;1,1,1;2,2,2;2,2,2;1,2,2"
3042.0,254.0,"1,5,0,3,2,4,8,7,6","1,1,2;1,1,1;1,2,2;1,1,2;2,2,2;1,1,1;2,2,2;2,2,2;2,2,2"
3708.0,213.0,"5,0,1,4,2,3,8,6,7","0,0,0;1,1,1;1,1,2;1,2,2;1,1,1;0,0,0;2,2,2;2,2,2;2,2,2"
3270.0,224.0,"0,1,5,4,2,3,8,6,7","0,0,0;1,1,1;1,2,2;1,2,2;1,1,2;1,1,1;2,2,2;2,2,2;2,2,2"
2910.0,264.0,"1,5,0,4,3,2,8,6,7","1,1,2;1,1,1;2,2,2;1,2,2;1,1,2;1,1,1;2,2,2;2,2,2;2,2,2"
3420.0,215.0,"0,1,5,2,3,4,8,6,7","0,0,0;1,1,1;1,1,2;1,2,2;1,2,2;1,1,1;2,2,2;2,2,2;2,2,2"
3306.0,222.0,"0,1,3,4,2,5,8,7,6","0,0,1;1,1,1;1,2,2;1,1,1;1,1,2;1,2,2;2,2,2;2,2,2;2,2,2"
3126.0,236.0,"0,1,5,4,8,2,3,6,7","0,0,0;1,1,1;2,2,2;2,2,2;1,1,2;1,1,1;2,2,2;2,2,2;1,2,2"
3084.0,241.0,"0,1,5,4,8,2,3,7,6","0,0,1;1,1,1;2,2,2;2,2,2;1,1,2;1,1,1;2,2,2;2,2,2;1,2,2"
3228.0,226.0,"0,1,5,4,2,3,6,8,7","0,0,1;1,1,1;1,2,2;1,2,2;1,1,2;1,1,1;2,2,2;2,2,2;2,2,2"
3132.0,233.0,"1,0,3,4,2,5,8,6,7","1,1,1;1,1,1;1,2,2;1,1,1;1,1,2;2,2,2;2,2,2;2,2,2;2,2,2"
3348.0,217.0,"0,1,4,2,3,5,6,8,7","0,0,1;1,1,1;1,1,2;1,2,2;1,1,1;1,2,2;2,2,2;2,2,2;2,2,2"
3390.0,216.0,"0,1,4,2,3,5,8,6,7","0,0,0;1,1,1;1,1,2;1,2,2;1,1,1;1,2,2;2,2,2;2,2,2;2,2,2"
4248.0,207.0,"0,7,4,1,5,2,3,8,6","0,0,0;1,1,1;1,1,2;1,2,2;0,0,1;1,1,1;2,2,2;0,0,0;2,2,2"
4218.0,212.0,"0,7,4,1,5,2,6,3,8","0,0,0;1,1,1;1,1,2;2,2,2;0,0,1;1,1,1;1,2,2;0,0,0;2,2,2"
