TEC,TCTA,sequence,period_schedule
1064.0,133.13,"2,4,3,1,0,5,6","0,1,1;0,1,1;0,0,0;0,1,1;0,0,0;0,1,1;1,1,1"
1440.0,88.28,"3,4,2,5,1,0,6","0,1,1;0,0,1;0,0,0;0,0,0;0,0,0;0,0,0;0,1,1"
1104.0,129.29,"2,4,5,3,1,0,6","0,1,1;0,1,1;0,0,0;0,1,1;0,0,0;0,0,1;1,1,1"
1230.0,104.62,"1,0,4,6,5,3,2","0,0,0;0,0,0;1,1,1;0,1,1;0,0,0;0,1,1;0,0,1"
1458.0,86.27000000000001,"3,6,4,2,0,1,5","0,0,0;0,0,1;0,0,0;0,0,0;0,0,0;0,1,1;0,0,0"
1244.0,104.10000000000001,"3,2,4,5,1,0,6","0,1,1;0,1,1;0,0,0;0,0,0;0,0,0;0,0,1;1,1,1"
1376.0,89.88,"3,4,2,6,1,0,5","0,1,1;0,0,1;0,0,0;0,0,0;0,0,0;0,1,1;0,0,0"
1422.0,88.51000000000002,"3,4,2,0,1,5,6","0,0,0;0,0,1;0,0,0;0,0,0;0,0,0;0,1,1;0,1,1"
1154.0,121.97000000000001,"2,0,1,3,4,5,6","0,0,0;0,0,1;0,0,0;0,1,1;0,1,1;0,1,1;1,1,1"
1476.0,81.56,"3,6,4,2,5,1,0","0,1,1;0,0,1;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0"
1204.0,106.95,"3,2,4,1,0,5,6","0,1,1;0,1,1;0,0,0;0,0,0;0,0,0;0,1,1;1,1,1"
1314.0,102.38000000000001,"1,0,6,5,3,2,4","0,0,0;0,0,0;0,1,1;0,1,1;0,1,1;0,0,1;0,0,0"
1096.0,132.96,"2,4,5,1,0,6,3","0,1,1;0,1,1;0,0,0;1,1,1;0,0,0;0,0,1;1,1,1"
1274.0,103.34,"3,2,4,0,1,5,6","0,0,1;0,1,1;0,0,0;0,0,0;0,0,0;0,1,1;1,1,1"
1036.0,143.95000000000002,"2,4,1,0,5,6,3","0,1,1;0,1,1;0,0,0;1,1,1;0,0,1;0,1,1;1,1,1"
1146.0,123.93,"2,0,1,5,4,6,3","0,0,0;0,0,1;0,0,0;1,1,1;0,1,1;0,1,1;1,1,1"
1098.0,132.49,"2,4,3,1,0,6,5","0,1,1;0,1,1;0,0,0;0,1,1;0,0,1;1,1,1;0,1,1"
1364.0,91.11000000000001,"3,4,2,5,6,1,0","1,1,1;0,1,1;0,0,0;0,0,0;0,0,0;0,0,0;0,0,1"
1044.0,136.22,"2,4,3,5,1,0,6","0,1,1;0,1,1;0,0,0;0,1,1;0,0,1;0,1,1;1,1,1"
1344.0,92.74000000000001,"3,4,2,6,5,1,0","0,1,1;0,1,1;0,0,0;0,0,0;0,0,0;0,0,1;0,0,0"
1330.0,94.75000000000001,"3,4,2,6,5,0,1","0,1,1;1,1,1;0,0,0;0,0,0;0,0,0;0,0,1;0,0,0"
1322.0,96.67,"0,1,6,5,2,3,4","0,0,0;0,0,0;0,0,1;0,1,1;1,1,1;0,0,1;0,0,0"
1244.0,104.10000000000001,"4,3,2,5,1,0,6","0,1,1;0,1,1;0,0,0;0,0,0;0,0,0;0,0,1;1,1,1"
1184.0,118.92999999999999,"3,2,4,1,5,0,6","0,1,1;0,1,1;0,0,0;0,0,0;0,0,1;0,1,1;1,1,1"
1126.0,129.16,"2,0,4,1,3,5,6","0,0,0;0,1,1;0,0,0;0,1,1;0,0,1;0,1,1;1,1,1"
